"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 02 16:59:03 IST 2024","Fri Feb 02 16:59:24 IST 2024","20977","Default Suite","VWO_SeleniumFRamework","VWO.Login_Test","VWO.Login_Test","LoginTest_positive","LoginTest_positive",""
"passed","Fri Feb 02 16:58:47 IST 2024","Fri Feb 02 16:59:01 IST 2024","13780","Default Suite","VWO_SeleniumFRamework","VWO.Login_Test","VWO.Login_Test","LoginTest_negative","LoginTest_negative",""
